Id,Duration,StartTime,ppl_count
860171,PT55M,2026-08-18T08:00:00,2
887293,PT55M,2026-08-18T08:00:00,0
1132071,PT55M,2026-08-19T08:00:00,0
887337,PT55M,2026-08-18T09:00:00,3
887595,PT55M,2026-08-19T09:00:00,0
903903,PT55M,2026-08-19T09:00:00,0
887381,PT55M,2026-08-18T10:00:00,2
887425,PT55M,2026-08-18T17:00:00,3
888179,PT55M,2026-08-19T17:00:00,0
887448,PT55M,2026-08-18T18:00:00,3
1267502,PT55M,2026-08-18T18:00:00,4
887644,PT55M,2026-08-19T18:00:00,0
887536,PT55M,2026-08-18T19:00:00,3
888223,PT55M,2026-08-19T19:00:00,0
802521,PT55M,2026-08-18T20:00:00,4
803042,PT55M,2026-08-19T20:00:00,0
